signal_date,entry_date,exit_date,ticker,zone_latent,zone_obs,zone_kind,P_obs,P_start,energy,U,L,y_start,p_up,p_down,p_none,a,slope,sigma
2025-12-29,2025-12-30,2026-01-13,IONQ,7,7,tube,45.25000000000001,45.25000000000001,0.06375698653433659,47.91995100223766,43.247981811203374,-0.11773249751645927,0.49763636363636365,0.5003636363636363,0.0020000000000000018,0.003131206510426882,0.000916490998500395,0.06552830331158367
2025-12-29,2025-12-30,2026-01-13,NVTS,9,7,tube,7.210000038146973,11.543081817398269,0.10189612890451769,14.06678173209369,9.105902189385482,0.09067431466703597,0.3276363636363636,0.252,0.4203636363636364,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2025-12-29,2025-12-30,2026-01-13,QQQ,9,9,tube,620.8699951171873,620.8699951171873,0.17517333023327603,626.7712315180659,616.3009153453293,-0.12308544372495861,0.4832727272727273,0.5152727272727273,0.001454545454545375,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2025-12-29,2025-12-30,2026-01-13,SPY,9,10,tube,687.8499755859374,678.8734338656611,0.19324521952981494,685.3582247697542,677.8121323043353,-0.7173732544230774,0.47563636363636363,0.5223636363636364,0.0020000000000000018,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2025-12-30,2025-12-31,2026-01-14,IONQ,7,7,tube,45.31000137329102,45.31000137329102,0.00043298618262136666,47.91995100223766,43.247981811203374,-0.09189702776796077,0.5143636363636364,0.484,0.001636363636363658,0.003131206510426882,0.000916490998500395,0.06552830331158367
2025-12-30,2025-12-31,2026-01-14,NVTS,9,7,tube,7.239999771118164,11.624318454976356,0.0026854820673104605,14.06678173209369,9.105902189385482,0.12292609363713351,0.3503636363636364,0.234,0.4156363636363636,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2025-12-30,2025-12-31,2026-01-14,QQQ,9,9,tube,619.4299926757814,619.4299926757814,0.04003379654420313,626.7712315180659,616.3688595060681,-0.40797114493709075,0.42527272727272725,0.5721818181818182,0.0025454545454545174,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2025-12-30,2025-12-31,2026-01-14,SPY,9,10,tube,687.0100097656251,678.8277818055474,0.02254183766721281,685.5407209748499,678.2219232599823,-0.8336202817537616,0.4658181818181818,0.5329090909090909,0.0012727272727273142,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2025-12-31,2026-01-02,2026-01-15,IONQ,7,7,tube,44.86999893188476,44.86999893188476,0.023821260351312216,47.812485081223635,43.247981811203374,-0.2660910819491264,0.46836363636363637,0.5296363636363637,0.0020000000000000018,0.003131206510426882,0.000916490998500395,0.06552830331158367
2025-12-31,2026-01-02,2026-01-15,NVTS,9,7,tube,7.139999866485595,11.04716365514262,0.03029139445683749,14.06678173209369,9.105902189385482,-0.11127207880008194,0.244,0.3316363636363636,0.4243636363636364,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
